timestamp	mode	target	hypothesis	change	eval_command	eval_result	decision	risk	evidence
2026-05-28T23:33:59+02:00	skills	~/.hermes/skills	Establish baseline before any skill edits	Generated inventory and rubric	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	low	.hermes/skill-audit/skills_inventory.md
2026-05-28T23:33:59+02:00	docs	Plan spec integration	Reuse only safe dashboard and campaign-contract ideas from M2.7 plan	Captured read-only dashboard, append-only ledger, MiniMax route preference, and safety gates	manual spec review	accepted safe subset; deferred provider/core runner changes	keep	low	docs/superpowers/specs/2026-05-28-hermes-autoresearch-m27-highspeed-dashboard-design.md
2026-05-28T23:33:59+02:00	skills	/home/piet/.hermes/skills/devops/hermes-dashboard-exposure/SKILL.md	Improve a high-value structural gap without rewriting the skill	Added a read-only Autoresearch/audit dashboard boundary and mutation ban.	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	Low; additive only, no existing exposure rule removed.	.hermes/skill-audit/skill_improvements_report.md
2026-05-28T23:33:59+02:00	skills	/home/piet/.hermes/skills/devops/hermes-dashboard-exposure/SKILL.md	Improve a high-value structural gap without rewriting the skill	Added concise closeout fields and non-action reporting.	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	Low; reporting-only addition.	.hermes/skill-audit/skill_improvements_report.md
2026-05-28T23:33:59+02:00	skills	/home/piet/.hermes/skills/github/github-pr-workflow/SKILL.md	Improve a high-value structural gap without rewriting the skill	Added hard stop rules and a PR/commit output contract.	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	Low; additive safety guidance only.	.hermes/skill-audit/skill_improvements_report.md
2026-05-28T23:33:59+02:00	skills	/home/piet/.hermes/skills/software-development/hermes-agent-skill-authoring/SKILL.md	Improve a high-value structural gap without rewriting the skill	Added Autoresearch-compatible editing workflow.	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	Low; additive and scoped.	.hermes/skill-audit/skill_improvements_report.md
2026-05-28T23:33:59+02:00	skills	/home/piet/.hermes/skills/software-development/hermes-agent-skill-authoring/SKILL.md	Improve a high-value structural gap without rewriting the skill	Added required closeout fields for skill edits.	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	Low; reporting-only addition.	.hermes/skill-audit/skill_improvements_report.md
2026-05-28T23:33:59+02:00	skills	/home/piet/.hermes/skills/devops/hermes-learning-skill-curator/SKILL.md	Improve a high-value structural gap without rewriting the skill	Added Autoresearch-compatible curation rules.	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	Low; additive only.	.hermes/skill-audit/skill_improvements_report.md
2026-05-28T23:33:59+02:00	skills	/home/piet/.hermes/skills/devops/hermes-modelrouting-codex/SKILL.md	Improve a high-value structural gap without rewriting the skill	Added a MiniMax M2.7 runner boundary with proof and forbidden actions.	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	Low; additive boundary language, no config change.	.hermes/skill-audit/skill_improvements_report.md
2026-05-28T23:33:59+02:00	code	/home/piet/.hermes/hermes-agent/scripts/eval_local_skills.py	Local eval should identify real structure errors without external dependencies	Added read-only stdlib evaluator	python3 scripts/eval_local_skills.py	PASS: python3 eval found 0 errors, 104 warnings; pytest collection blocked by missing acp	keep	low	/home/piet/.hermes/hermes-agent/scripts/eval_local_skills.py
2026-05-28T23:33:59+02:00	code	/home/piet/.hermes/hermes-agent/scripts/render_autoresearch_dashboard.py	Dashboard should visualize audit state without mutation controls	Added static read-only dashboard generator	python3 scripts/render_autoresearch_dashboard.py	pending until render	keep	low	.hermes/skill-audit/dashboard.html
